date, pm25, pm10, o3, no2, so2, co
2024/1/23, 30, 12, , 15, , 5
2024/1/24, 35, 13, , 15, , 4
2024/1/25, 31, 9, , 9, , 4
2024/1/26, 24, 14, , 12, , 5
2024/1/27, 28, 13, , 12, , 5
2024/1/28, 33, 13, , 14, , 5
2024/1/29, 45, 23, , 20, , 6
2024/1/30, 53, 30, , 21, , 6
2024/1/31, 62, 39, , 31, , 8
2024/2/1, 72, 27, , 26, , 7
2024/2/2, 55, 18, , 24, , 7
2024/2/3, 43, 24, , 22, , 7
2024/2/4, 50, 18, , 16, , 6
2024/2/5, 54, 25, , 25, , 7
2024/2/6, 53, 30, , 26, , 7
2024/2/7, 55, 25, , 23, , 7
2024/2/8, 59, 31, , 23, 1, 6
2024/2/9, 64, 27, , 24, , 6
2024/2/10, 58, 20, , 18, , 5
2024/2/11, 53, 18, , 14, , 4
2024/2/12, 44, 18, , 12, , 3
2024/2/13, 43, 28, , 11, , 3
2024/2/14, 47, 17, , 15, , 4
2024/2/15, 43, 9, , 10, , 4
2024/2/16, 23, 18, , 17, , 5
2024/2/17, 41, 24, , 18, 1, 5
2024/2/18, 48, 16, , 15, , 5
2024/2/19, 42, 21, , 18, , 6
2024/2/20, 49, 20, , 19, , 7
2024/2/21, 44, 16, , 20, , 6
2024/2/22, 43, 20, , 22, , 7
2024/2/23, 50, 23, , 21, , 6
2024/2/24, 45, 18, , 19, , 7
2024/2/25, 43, 21, , 17, , 7
2024/2/26, 69, 16, , 16, , 5
2024/2/27, 40, 30, , 18, , 5
2024/2/28, 46, 44, , 18, , 5
2024/2/29, 73, 23, , 10, , 6
2024/3/5, 58, 23, , 19, , 5
2024/3/6, 53, 16, , 22, , 6
2024/3/7, 36, 14, , 21, , 6
2024/3/8, 41, 20, , 23, , 8
2024/3/9, 37, 15, , 16, , 5
2024/3/10, 39, 18, , 10, , 4
2024/3/11, 40, 11, , 17, , 5
2024/3/12, 33, 23, , 25, , 6
2024/3/13, 50, 24, , 22, , 6
2024/3/14, 53, 37, , 30, , 7
2024/3/15, 83, 41, , 33, , 8
2024/3/16, 81, 48, , 31, 1, 7
2024/3/17, 80, 30, , 14, , 5
2024/3/18, 62, 26, , 25, , 6
2024/3/19, 44, 29, , 29, , 8
2024/3/20, 64, 34, , 29, , 7
2024/3/21, 74, 27, , 20, , 5
2024/3/22, 59, 11, , 17, , 6
2024/3/23, 33, 15, , 16, , 6
2024/3/24, 37, 11, , 15, , 4
2024/3/25, 35, 17, , 21, , 6
2024/3/26, 45, 16, , 19, 1, 6
2024/3/27, 57, 21, , 21, , 8
2024/3/28, 42, 17, , 23, , 9
2024/3/29, 51, 12, , 13, , 4
2024/3/30, 43, 9, , 12, , 4
2024/3/31, 30, 23, , 14, , 6
2024/4/1, 63, 32, , 26, 1, 8
2023/10/2, 37, 24, , 24, , 7
2023/10/3, 63, 29, , 24, , 7
2023/10/4, 77, 32, , 24, , 8
2023/10/5, 70, 19, , 21, , 7
2023/10/6, 57, 39, , 29, , 11
2023/10/7, 84, 31, , 20, , 7
2023/10/8, 74, 12, , 18, , 6
2023/10/9, 35, 10, , 16, , 5
2023/10/10, 28, 16, , 19, , 5
2023/10/11, 37, 33, , 27, , 9
2023/10/12, 71, 34, , 22, , 8
2023/10/13, 80, 8, , 16, , 4
2023/10/14, 24, 12, , 14, , 5
2023/10/15, 41, 14, , 11, , 3
2023/10/16, 49, 27, , 21, , 6
2023/10/17, 67, 18, , 20, , 5
2023/10/18, 46, 18, , 20, , 6
2023/10/19, 44, 12, , 17, , 5
2023/10/20, 35, 17, , 19, , 6
2023/10/21, 55, 12, , 16, , 5
2023/10/22, 39, 15, , 12, , 4
2023/10/23, 48, 28, , 21, , 6
2023/10/24, 61, 45, , 26, , 8
2023/10/25, 94, 21, , 18, , 5
2023/10/26, 58, 22, , 20, , 6
2023/10/27, 56, 20, , 20, , 6
2023/10/28, 53, 18, , 15, , 5
2023/10/29, 48, 19, , 11, , 5
2023/10/30, 51, 26, , 21, , 6
2023/10/31, 67, 30, , 24, , 8
2023/11/1, 68, 12, , 15, , 6
2023/11/2, 26, 13, , 16, , 4
2023/11/3, 42, 28, , , , 6
2023/11/4, 56, 21, , , , 4
2023/11/5, 67, 19, , 13, , 4
2023/11/6, 65, 22, , 15, 1, 4
2023/11/7, 58, 27, , 23, 5, 5
2023/11/8, 63, 40, , 33, , 8
2023/11/9, 74, 57, , 31, 1, 8
2023/11/10, 111, 31, , 23, , 6
2023/11/11, 67, 42, , 25, 1, 8
2023/11/12, 76, 39, , 21, , 5
2023/11/13, 73, 48, , 27, , 4
2023/11/14, 87, 32, , 20, , 5
2023/11/15, 60, 25, , 16, , 4
2023/11/16, 59, 30, , 27, , 7
2023/11/17, 63, 40, , 28, 1, 8
2023/11/18, 84, 38, , 18, , 5
2023/11/19, 62, 18, , 15, , 6
2023/11/20, 57, 11, , 15, , 4
2023/11/21, 34, 20, , 21, , 6
2023/11/22, 55, 36, , 24, , 6
2023/11/23, 72, 20, , 19, , 6
2023/11/24, 39, 13, , 13, , 5
2023/11/25, 28, 18, , 17, , 6
2023/11/26, 73, 17, , 14, , 4
2023/12/5, 45, 21, , 17, , 5
